authorMeta/fans,authorMeta/heart,authorMeta/verified,videoMeta/duration,playCount,diggCount,shareCount,commentCount,hashtags/0/name,videoMeta/coverUrl,hashtags_cleaned
25200000,499400000,True,135,9700000,1000000,40000,10600,lovealarm,https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/ooDBHmfJAKO4mFACmukCAsJ1ExIBgERQVfDAxM?lk3s=b59d6b55&x-expires=1725267600&x-signature=8whjLXQrO3SwnJWV6HWvj8nUfQg%3D&shp=b59d6b55&shcp=-,
25200000,499400000,True,21,2100000,245200,10800,3988,gnomo,https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/oIkHzAeFSMQAGqrEEPgfI9LInfAHANwQGzCKEY?lk3s=b59d6b55&x-expires=1725267600&x-signature=BdtwEYJeRGbGuwJdioLurWo8dys%3D&shp=b59d6b55&shcp=-,
25200000,499400000,True,37,8900000,791100,7937,4244,,https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/3f8f5b78eece425abfe0236bed37145c_1721062831?lk3s=b59d6b55&x-expires=1725267600&x-signature=dOxQAA2lboJEdAvlw9gsf7kFnJk%3D&shp=b59d6b55&shcp=-,
4800000,123900000,True,44,4700000,200900,2981,663,thefrog,https://p16-sign-sg.tiktokcdn.com/obj/tos-alisg-p-0037/oQA8EixNosYyA4BAikYZKXlAAoXrDRZpAIivk?lk3s=b59d6b55&x-expires=1725267600&x-signature=VXIsFaInd5Fns%2FV9ApwgXE4WfPc%3D&shp=b59d6b55&shcp=-,
25200000,499400000,True,18,978600,119500,15900,593,,https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/ocrpDfmfEECSQvCzcANgFE3kISrAAAygGCfANY?lk3s=b59d6b55&x-expires=1725267600&x-signature=MCdzhOdksQvXwddjxsA82tmI1jc%3D&shp=b59d6b55&shcp=-,
25200000,499400000,True,84,8300000,916300,11900,1653,,https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/ed9e5a0a03bc48f4bce4d96f4ac44479_1721931088?lk3s=b59d6b55&x-expires=1725267600&x-signature=n1j24592JqruSEOBQt8l8wudJys%3D&shp=b59d6b55&shcp=-,
39700000,1000000000,True,35,3500000,434600,137800,4033,,https://p19-pu-sign-useast8.tiktokcdn-us.com/obj/tos-useast5-p-0068-tx/oIDKBiw9EozAaGBUIBFAAJiAHYJNBBfo0qAtKl?lk3s=b59d6b55&x-expires=1725267600&x-signature=bse7K2gAyTMJNPuik5BjVE9NrM4%3D&shp=b59d6b55&shcp=-,
39700000,1000000000,True,11,481000,32100,681,145,kaos,https://p19-sign.tiktokcdn-us.com/obj/tos-useast5-p-0068-tx/oQDilaN5EywBJFaBKRkBfBXKXMAiAALwAXgzIw?lk3s=b59d6b55&x-expires=1725267600&x-signature=zlf3rwBb23XXlzMTcC9245P1%2FaY%3D&shp=b59d6b55&shcp=-,
25200000,499400000,True,75,12100000,499000,29600,3879,fabricantedelagrimas,https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/ooAKBioiE2zAYDBPIBZAhEiAjD6kcgfL5MAEh4?lk3s=b59d6b55&x-expires=1725267600&x-signature=Ov4t89AmZNdK7ME%2BB5UxgI5wjH0%3D&shp=b59d6b55&shcp=-,
39700000,1000000000,True,9,32000000,578800,39100,5275,incoming,https://p16-pu-sign-useast8.tiktokcdn-us.com/obj/tos-useast5-p-0068-tx/ogAEPTqrMQGteJe7AzWAkzrbVE8INAHIQeAAEi?lk3s=b59d6b55&x-expires=1725267600&x-signature=QMd%2F9T%2F20hfyI9ah3C%2BHaSPrtEA%3D&shp=b59d6b55&shcp=-,
25200000,499400000,True,104,10800000,434200,12300,1350,,https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/oUEhIAgAKb8EArBziiAdv2khgY5BeiAoE5LHB5?lk3s=b59d6b55&x-expires=1725267600&x-signature=Ia%2F2WkGuKwpMSakOP7JSv8RW4F4%3D&shp=b59d6b55&shcp=-,
25200000,499400000,True,48,5000000,366100,6203,1123,fabricantedelagrimas,https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/okVFPAAimABbLeqjChFEQTDxCIAVPGAIEQfQJx?lk3s=b59d6b55&x-expires=1725267600&x-signature=lKTCsID5SrFnccOj7TnmKgHe1bE%3D&shp=b59d6b55&shcp=-,
39700000,1000000000,True,18,65300,7891,67,55,brooklynninenine,https://p19-pu-sign-useast8.tiktokcdn-us.com/obj/tos-useast5-p-0068-tx/o0cCkEEDgcKBaEdFfemVDCA1ISRaU0Q0Xwq7CS?lk3s=b59d6b55&x-expires=1725267600&x-signature=TBcoWl%2F5qUguW41lIMYqjqpcTOg%3D&shp=b59d6b55&shcp=-,
25200000,499400000,True,51,9200000,938600,30200,3066,,https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/oYARAfiFDCCNFAfEZtELlyE5WESIpjRgzmrXeA?lk3s=b59d6b55&x-expires=1725267600&x-signature=EHTJVD%2F4hX7xuL2cxsM%2Fmd3hkfk%3D&shp=b59d6b55&shcp=-,
5700000,105900000,True,44,21100000,1200000,28400,5174,lesalairedelapeur,https://p16-sign-useast2a.tiktokcdn.com/obj/tos-useast2a-p-0037-euttp/osnBFAiAiEB3e7AAg3AovziNzGIoKldhHAH38B?lk3s=b59d6b55&x-expires=1725267600&x-signature=2NHIRyer%2F0dlzYgFSanxGYxqyxA%3D&shp=b59d6b55&shcp=-,
4800000,123900000,True,27,3800000,671400,18300,3479,hwarang,https://p16-sign-sg.tiktokcdn.com/obj/tos-alisg-p-0037/o0AAGKEQIBgmyUjfUMFcaIE6yfnyNCAPDCRVA5?lk3s=b59d6b55&x-expires=1725267600&x-signature=QrF%2BkSOI2kIXaTXL5PswFSLEd3Q%3D&shp=b59d6b55&shcp=-,
4800000,123900000,True,14,3100000,283800,7903,2973,guardianthelonelyandgreatgod,https://p16-sign-sg.tiktokcdn.com/obj/tos-alisg-p-0037/ogAAv0iIEAwz2CWfzziKxnCD4WaN0BAyBBOKA4?lk3s=b59d6b55&x-expires=1725267600&x-signature=ziyd5wI8yoaXKnynA4Cx%2Fwm5j%2FY%3D&shp=b59d6b55&shcp=-,
